Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date added,CIK,Founded,url,updated_at
MMM,3M,Industrials,Industrial Conglomerates,"Saint Paul, Minnesota",1957-03-04,0000066740,1902,https://www.nyse.com/quote/XNYS:MMM,2024-05-05 14:51:52
AOS,A. O. Smith,Industrials,Building Products,"Milwaukee, Wisconsin",2017-07-26,0000091142,1916,https://www.nyse.com/quote/XNYS:AOS,2024-05-05 14:51:52
ABT,Abbott,Health Care,Health Care Equipment,"North Chicago, Illinois",1957-03-04,0000001800,1888,https://www.nyse.com/quote/XNYS:ABT,2024-05-05 14:51:52
ABBV,AbbVie,Health Care,Biotechnology,"North Chicago, Illinois",2012-12-31,0001551152,2013 (1888),https://www.nyse.com/quote/XNYS:ABBV,2024-05-05 14:51:52
ACN,Accenture,Information Technology,IT Consulting & Other Services,"Dublin, Ireland",2011-07-06,0001467373,1989,https://www.nyse.com/quote/XNYS:ACN,2024-05-05 14:51:52
ADBE,Adobe Inc.,Information Technology,Application Software,"San Jose, California",1997-05-05,0000796343,1982,https://www.nasdaq.com/market-activity/stocks/adbe,2024-05-05 14:51:52
AMD,Advanced Micro Devices,Information Technology,Semiconductors,"Santa Clara, California",2017-03-20,0000002488,1969,https://www.nasdaq.com/market-activity/stocks/amd,2024-05-05 14:51:52
AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,"Arlington, Virginia",1998-10-02,0000874761,1981,https://www.nyse.com/quote/XNYS:AES,2024-05-05 14:51:52
AFL,Aflac,Financials,Life & Health Insurance,"Columbus, Georgia",1999-05-28,0000004977,1955,https://www.nyse.com/quote/XNYS:AFL,2024-05-05 14:51:52
A,Agilent Technologies,Health Care,Life Sciences Tools & Services,"Santa Clara, California",2000-06-05,0001090872,1999,https://www.nyse.com/quote/XNYS:A,2024-05-05 14:51:52
APD,Air Products and Chemicals,Materials,Industrial Gases,"Allentown, Pennsylvania",1985-04-30,0000002969,1940,https://www.nyse.com/quote/XNYS:APD,2024-05-05 14:51:52
ABNB,Airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","San Francisco, California",2023-09-18,0001559720,2008,https://www.nasdaq.com/market-activity/stocks/abnb,2024-05-05 14:51:52
AKAM,Akamai,Information Technology,Internet Services & Infrastructure,"Cambridge, Massachusetts",2007-07-12,0001086222,1998,https://www.nasdaq.com/market-activity/stocks/akam,2024-05-05 14:51:52
ALB,Albemarle Corporation,Materials,Specialty Chemicals,"Charlotte, North Carolina",2016-07-01,0000915913,1994,https://www.nyse.com/quote/XNYS:ALB,2024-05-05 14:51:52
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,"Pasadena, California",2017-03-20,0001035443,1994,https://www.nyse.com/quote/XNYS:ARE,2024-05-05 14:51:52
ALGN,Align Technology,Health Care,Health Care Supplies,"Tempe, Arizona",2017-06-19,0001097149,1997,https://www.nasdaq.com/market-activity/stocks/algn,2024-05-05 14:51:52
ALLE,Allegion,Industrials,Building Products,"Dublin, Ireland",2013-12-02,0001579241,1908,https://www.nyse.com/quote/XNYS:ALLE,2024-05-05 14:51:52
LNT,Alliant Energy,Utilities,Electric Utilities,"Madison, Wisconsin",2016-07-01,0000352541,1917,https://www.nasdaq.com/market-activity/stocks/lnt,2024-05-05 14:51:52
ALL,Allstate,Financials,Property & Casualty Insurance,"Northbrook, Illinois",1995-07-13,0000899051,1931,https://www.nyse.com/quote/XNYS:ALL,2024-05-05 14:51:52
GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,"Mountain View, California",2014-04-03,0001652044,1998,https://www.nasdaq.com/market-activity/stocks/googl,2024-05-05 14:51:52
GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,"Mountain View, California",2006-04-03,0001652044,1998,https://www.nasdaq.com/market-activity/stocks/goog,2024-05-05 14:51:52
MO,Altria,Consumer Staples,Tobacco,"Richmond, Virginia",1957-03-04,0000764180,1985,https://www.nyse.com/quote/XNYS:MO,2024-05-05 14:51:52
AMZN,Amazon,Consumer Discretionary,Broadline Retail,"Seattle, Washington",2005-11-18,0001018724,1994,https://www.nasdaq.com/market-activity/stocks/amzn,2024-05-05 14:51:52
